City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
177,Praia,CV,14.92,-23.51,75.2,88,20,5.82,few clouds
178,Manihari,IN,25.35,87.63,82.6,52,27,4.41,scattered clouds
179,Kars,TR,40.6,43.09,32.0,61,40,2.24,scattered clouds
180,Saint-Philippe,RE,-21.36,55.77,73.4,53,90,6.93,overcast clouds
181,Pisco,PE,-13.7,-76.22,64.4,82,90,10.29,overcast clouds
182,Ondo,NG,7.1,4.83,71.58,98,90,0.69,overcast clouds
183,Marrakesh,MA,31.63,-8.01,59.0,54,0,0.54,clear sky
184,Canon City,US,38.44,-105.24,50.0,48,0,4.0,clear sky
185,Soma,TR,39.19,27.61,48.2,93,0,3.36,clear sky
186,Ixtapa,MX,20.7,-105.2,75.34,85,18,2.73,few clouds
187,Ribeira Grande,PT,38.52,-28.7,62.91,73,26,18.32,scattered clouds
188,Florianopolis,BR,-27.61,-48.5,62.6,93,75,10.29,broken clouds
189,Esperance,AU,-33.87,121.9,66.2,93,90,17.22,thunderstorm
190,Zapolyarnyy,RU,69.42,30.81,39.2,86,90,26.4,overcast clouds
191,Chaihe,CN,44.77,129.7,39.76,58,54,15.73,broken clouds
192,Bintulu,MY,3.17,113.03,84.2,83,20,3.36,few clouds
193,Teya,RU,60.38,92.63,34.45,90,100,12.62,overcast clouds
194,Tiksi,RU,71.69,128.87,-5.39,90,1,5.97,clear sky
195,Nantucket,US,41.28,-70.1,54.0,94,90,19.46,overcast clouds
196,Leshukonskoye,RU,64.9,45.76,31.39,98,100,7.14,overcast clouds
197,Port Alfred,ZA,-33.59,26.89,64.42,82,7,16.55,clear sky
198,Manoel Urbano,BR,-8.84,-69.26,72.12,75,22,0.54,few clouds
199,Zabol,AF,32.25,67.25,51.71,29,0,1.66,clear sky
200,Zhuanghe,CN,39.7,122.99,54.41,38,28,15.39,light rain
201,Tumaco,CO,1.8,-78.82,76.17,87,74,5.23,broken clouds
202,Palapye,BW,-22.55,27.13,64.17,80,100,16.46,light rain
203,Verkhoturye,RU,58.86,60.81,25.88,95,0,4.03,clear sky
204,Nanortalik,GL,60.14,-45.24,32.34,89,0,36.86,clear sky
205,Burns Lake,CA,54.23,-125.75,35.6,93,70,1.12,broken clouds
206,Kodiak,US,57.79,-152.41,30.2,39,90,12.75,overcast clouds
207,Benghazi,LY,32.12,20.07,70.27,62,55,10.56,broken clouds
208,Debre Tabor,ET,11.85,38.02,49.46,74,8,4.23,clear sky
209,Merauke,ID,-8.47,140.33,88.23,64,51,16.8,broken clouds
210,Bathsheba,BB,13.22,-59.52,82.4,78,40,23.04,scattered clouds
211,Itarema,BR,-2.92,-39.92,80.08,78,58,11.18,broken clouds
212,Dingle,PH,11.0,122.67,84.29,78,95,14.34,light rain
213,Luohe,CN,33.57,114.04,71.17,22,16,9.51,few clouds
214,Lelystad,NL,52.51,5.47,64.99,76,100,10.0,light rain
215,Mbandaka,CD,0.05,18.26,70.77,95,100,3.24,overcast clouds
216,Vila,PT,42.03,-8.16,60.01,95,97,7.0,light rain
217,Lompoc,US,34.64,-120.46,63.0,77,1,4.09,clear sky
218,Nizhnedevitsk,RU,51.54,38.37,44.6,93,90,11.18,moderate rain
219,Ghanzi,BW,-21.57,21.78,68.67,57,97,10.54,light rain
220,Kedrovyy,RU,56.17,91.82,39.2,64,0,4.47,clear sky
221,Opuwo,NA,-18.06,13.84,62.47,31,1,1.86,clear sky
222,Awbari,LY,26.59,12.78,57.27,69,0,7.14,clear sky
223,Avera,US,33.19,-82.53,57.2,58,1,9.17,clear sky
224,Ulladulla,AU,-35.35,150.47,69.8,56,40,10.29,scattered clouds
225,White Rock,CA,49.02,-122.8,46.99,93,8,2.77,clear sky
226,Xuddur,SO,4.12,43.89,74.17,81,100,6.82,overcast clouds
227,Thai Binh,VN,20.45,106.33,82.4,69,40,3.36,scattered clouds
228,Cantavir,RS,45.92,19.76,50.63,62,99,4.29,overcast clouds
229,Oriximina,BR,-1.77,-55.87,80.49,60,38,2.71,scattered clouds
230,Tubmanburg,LR,6.87,-10.82,73.17,97,26,2.39,light rain
231,Rijeka,HR,45.34,14.41,57.99,93,20,4.7,few clouds
232,Murgud,IN,16.4,74.2,77.41,59,0,5.77,clear sky
233,Sobolevo,RU,54.43,31.9,41.54,91,100,7.92,light rain
234,Paragominas,BR,-2.97,-47.48,75.25,78,21,3.44,few clouds
235,Kjollefjord,NO,70.95,27.35,41.0,80,0,31.09,clear sky
236,Ahipara,NZ,-35.17,173.17,67.91,84,99,9.19,light rain
237,Strezhevoy,RU,60.73,77.59,32.0,97,90,8.95,overcast clouds
238,Eching,DE,48.3,11.62,57.2,82,75,3.36,broken clouds
239,Provideniya,RU,64.38,-173.3,24.8,62,20,4.7,few clouds
240,Atasu,KZ,48.68,71.64,40.19,61,97,5.86,overcast clouds
241,Kupang,ID,-10.17,123.58,89.47,53,74,4.18,broken clouds
242,Walvis Bay,NA,-22.96,14.51,54.0,93,100,6.93,overcast clouds
243,Stephenville,US,32.22,-98.2,54.0,66,1,7.65,clear sky
244,Dalianwan,CN,39.03,121.69,51.8,53,75,8.95,broken clouds
245,Teixeira,BR,-7.22,-37.25,69.71,88,43,7.67,scattered clouds
246,Hasaki,JP,35.73,140.83,72.0,82,75,10.29,broken clouds
247,Oranjemund,NA,-28.55,16.43,59.72,72,2,5.23,clear sky
248,Araouane,ML,18.9,-3.53,79.61,17,64,7.67,broken clouds
249,Gualeguaychu,AR,-33.01,-58.52,53.83,77,0,5.64,clear sky
250,Grindavik,IS,63.84,-22.43,35.6,74,75,8.05,broken clouds
251,Arraial Do Cabo,BR,-22.97,-42.03,68.05,71,1,15.59,clear sky
252,Zhoucheng,CN,35.91,116.31,63.03,28,0,15.97,clear sky
253,Tibati,CM,6.47,12.63,68.11,90,100,2.26,overcast clouds
254,Japura,ID,-0.32,102.35,90.16,56,99,3.71,overcast clouds
255,Providencia,MX,28.72,-111.58,73.99,47,47,7.78,scattered clouds
256,Sorong,ID,-0.88,131.25,84.36,73,100,7.25,light rain
257,Portland,US,45.52,-122.68,55.99,54,1,5.82,clear sky
258,Komsomolskiy,UZ,40.43,71.72,50.0,25,100,6.93,overcast clouds
259,Sao Raimundo Das Mangabeiras,BR,-7.02,-45.48,76.77,79,89,3.51,light rain
260,Iquique,CL,-20.22,-70.14,62.6,72,90,6.93,overcast clouds
261,Roquetas De Mar,ES,36.76,-2.61,53.6,93,20,3.36,few clouds
262,Kanniyakumari,IN,8.08,77.57,83.39,67,49,6.69,scattered clouds
263,Najran,SA,17.49,44.13,55.4,32,0,0.34,clear sky
